Instance,Predicted_Label
0,1
1,0
2,1
3,1
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,1
30,0
31,0
32,0
33,0
34,1
35,1
36,1
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,1
65,1
66,1
67,0
68,0
69,1
70,1
71,1
72,0
73,0
74,0
75,0
76,0
77,1
78,1
79,0
80,0
81,0
82,1
83,1
84,0
85,0
86,0
87,0
88,1
89,1
90,0
91,1
92,1
93,1
94,0
95,0
96,1
97,0
98,1
99,0
100,1
101,1
102,0
103,1
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,1
122,0
123,0
124,0
125,1
126,1
127,0
128,0
129,0
130,1
131,0
132,0
133,1
134,0
135,0
136,0
137,1
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,1
151,0
152,0
153,1
154,1
155,1
156,1
157,1
158,0
159,1
160,0
161,0
162,0
163,1
164,1
165,0
166,0
167,0
168,0
169,1
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,0
184,1
185,0
186,0
187,0
188,1
189,0
190,0
191,1
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,1
208,0
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,1
219,0
220,1
221,0
222,1
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,1
232,0
233,1
234,1
235,1
236,0
237,0
238,1
239,1
240,0
241,1
242,0
243,0
244,0
245,0
246,0
247,1
248,1
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,1
257,1
258,0
259,0
260,1
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,1
276,1
277,0
278,0
279,1
280,0
281,1
282,1
283,1
284,1
285,1
286,0
287,0
288,1
289,0
290,1
291,1
292,1
293,1
294,0
295,0
296,0
297,0
298,1
299,1
300,0
301,0
302,1
303,1
304,0
305,1
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,1
315,0
316,0
317,1
318,1
319,0
320,1
321,1
322,0
323,1
324,0
325,0
326,0
327,1
328,1
329,1
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,1
338,1
339,1
340,0
341,0
342,1
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,1
360,1
361,1
362,0
363,0
364,0
365,1
366,1
367,1
368,1
369,0
370,1
371,0
372,0
373,0
374,1
375,1
376,0
377,0
378,0
379,1
380,0
381,0
382,1
383,0
384,1
385,1
386,0
387,0
388,1
389,0
390,0
391,1
392,1
393,1
394,1
395,1
396,0
397,0
398,0
399,1
400,0
401,0
402,0
403,1
404,0
405,1
406,1
407,1
408,0
409,0
410,1
411,0
412,0
413,0
414,0
415,1
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,1
437,1
438,0
439,0
440,1
441,1
442,0
443,1
444,1
445,0
446,1
447,1
448,1
449,0
450,0
451,1
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,1
463,0
464,0
465,1
466,1
467,0
468,0
469,0
470,0
471,1
472,1
473,0
474,0
475,1
476,0
477,0
478,0
479,0
480,0
481,1
482,0
483,1
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,1
493,0
494,1
495,1
496,0
497,0
498,1
499,1
500,0
501,0
502,0
503,0
504,1
505,0
506,0
507,0
508,0
509,1
510,1
511,1
512,0
513,1
514,1
515,0
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,1
536,0
537,0
538,0
539,0
540,0
541,1
542,0
543,0
544,0
545,0
546,1
547,0
548,0
549,1
550,0
551,0
552,0
553,0
554,0
555,1
556,1
557,0
558,0
559,1
560,0
561,1
562,0
563,1
564,0
565,0
566,0
567,0
568,0
569,0
570,1
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,1
595,1
596,0
597,0
598,0
599,1
600,0
601,0
602,1
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,1
614,1
615,0
616,1
617,0
618,0
619,1
620,1
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,1
633,0
634,1
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,1
647,0
648,1
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,1
658,1
659,1
660,0
661,0
662,0
663,1
664,1
665,0
666,0
667,0
668,0
669,0
670,1
671,1
672,0
673,0
674,0
675,1
676,0
677,0
678,1
679,1
680,0
681,0
682,0
683,0
684,0
685,0
686,1
687,0
688,0
689,0
690,1
691,1
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,1
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,1
720,0
721,1
722,1
723,0
724,1
725,0
726,1
727,0
728,0
729,0
730,0
731,0
732,1
733,0
734,1
735,1
736,0
737,0
738,0
739,1
740,1
741,0
742,0
743,0
744,1
745,1
746,1
747,1
748,0
749,1
750,1
751,0
752,1
753,1
754,0
755,0
756,1
757,1
758,0
759,1
760,1
761,0
762,0
763,1
764,0
765,0
766,1
767,0
768,0
769,1
770,1
771,0
772,1
773,1
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,1
785,0
786,0
787,0
788,0
789,0
790,1
791,1
792,0
793,0
794,0
795,1
796,1
797,1
798,1
799,1
800,1
801,0
802,0
803,0
804,1
805,0
806,0
807,1
808,0
809,1
810,0
811,0
812,1
813,1
814,0
815,0
816,0
817,1
818,0
819,0
820,0
821,1
822,1
823,0
824,0
825,0
826,0
827,1
828,1
829,1
830,1
831,0
832,1
833,1
834,0
835,0
836,0
837,0
838,1
839,1
840,1
841,0
842,0
843,0
844,0
845,1
846,0
847,0
848,0
849,1
850,0
851,1
852,1
853,0
854,0
855,0
856,0
857,0
858,1
859,0
860,0
861,1
862,1
863,0
864,1
865,1
866,0
867,1
868,1
869,0
870,1
871,0
872,0
873,1
874,0
875,0
876,1
877,1
878,0
879,1
880,0
881,1
882,1
883,1
884,1
885,0
886,0
887,0
888,0
889,1
890,0
891,0
892,0
893,1
894,1
895,0
896,0
897,1
898,1
899,0
900,1
901,1
902,1
903,1
904,0
905,1
906,1
907,1
908,1
909,1
910,0
911,1
912,1
913,0
914,1
915,0
916,1
917,0
918,1
919,0
920,1
921,1
922,1
923,1
924,1
925,0
926,1
927,0
928,0
929,1
930,1
931,1
932,1
933,0
934,1
935,0
936,1
937,1
938,0
939,1
940,0
941,0
942,1
943,0
944,0
945,1
946,0
947,0
948,0
949,1
950,1
951,1
952,0
953,1
954,1
955,1
956,1
957,1
958,0
959,1
960,1
961,0
962,0
963,0
964,1
965,0
966,0
967,0
968,1
969,0
970,1
971,1
972,0
973,0
974,1
975,0
976,1
977,1
978,1
979,1
980,0
981,1
982,1
983,1
984,1
985,1
986,0
987,1
988,1
989,0
990,1
991,0
992,1
993,1
994,1
995,0
996,1
997,1
998,0
999,1
1000,1
1001,1
1002,1
1003,0
1004,0
1005,0
1006,1
1007,0
1008,1
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,1
1016,0
1017,0
1018,1
1019,0
1020,1
1021,1
1022,0
1023,1
1024,0
1025,0
1026,0
1027,0
1028,1
1029,0
1030,1
1031,1
1032,0
1033,0
1034,1
1035,1
1036,1
1037,1
1038,1
1039,0
1040,1
1041,0
1042,1
1043,1
1044,1
1045,1
1046,0
1047,1
1048,0
1049,1
1050,1
1051,0
1052,0
1053,0
1054,0
1055,0
1056,1
1057,0
1058,0
1059,0
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,0
1069,0
1070,0
1071,1
1072,0
1073,1
1074,0
1075,0
1076,0
1077,1
1078,1
1079,0
1080,1
1081,0
1082,0
1083,1
1084,0
1085,0
1086,1
1087,0
1088,0
1089,0
1090,0
1091,1
1092,0
1093,1
1094,1
1095,0
1096,0
1097,0
1098,0
1099,1
1100,0
1101,0
1102,1
1103,0
1104,0
1105,1
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,1
1114,1
1115,1
1116,1
1117,1
1118,0
1119,1
1120,0
1121,1
1122,0
1123,1
1124,0
1125,1
1126,0
1127,0
1128,0
1129,0
1130,0
1131,1
1132,1
1133,0
1134,0
1135,0
1136,0
1137,1
1138,1
1139,1
1140,1
1141,1
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,1
1154,1
1155,0
1156,0
1157,0
1158,1
1159,1
1160,1
1161,0
1162,0
1163,1
1164,1
1165,0
1166,1
1167,1
1168,0
1169,0
1170,1
1171,0
1172,1
1173,1
1174,0
1175,0
1176,0
1177,0
1178,0
1179,1
1180,1
1181,1
1182,1
1183,1
1184,1
1185,0
1186,1
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,1
1199,0
1200,0
1201,1
1202,0
1203,0
1204,0
1205,1
1206,1
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,1
1216,1
1217,0
1218,1
1219,1
1220,0
1221,0
1222,1
1223,1
1224,0
1225,0
1226,0
1227,0
1228,0
