Instance,Predicted_Label
0,0
1,0
2,1
3,1
4,1
5,0
6,1
7,0
8,0
9,0
10,0
11,1
12,0
13,1
14,0
15,0
16,0
17,1
18,1
19,1
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,1
34,0
35,1
36,1
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,1
49,1
50,1
51,0
52,0
53,0
54,0
55,1
56,1
57,0
58,1
59,0
60,0
61,0
62,1
63,1
64,1
65,1
66,1
67,0
68,1
69,0
70,1
71,0
72,0
73,0
74,1
75,0
76,0
77,0
78,1
79,0
80,0
81,0
82,1
83,1
84,1
85,0
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,1
95,1
96,0
97,0
98,0
99,1
100,1
101,1
102,0
103,1
104,1
105,1
106,0
107,1
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,0
117,1
118,1
119,0
120,0
121,0
122,0
123,1
124,0
125,1
126,0
127,0
128,0
129,1
130,1
131,0
132,0
133,1
134,1
135,0
136,1
137,1
138,0
139,0
140,1
141,0
142,1
143,0
144,0
145,1
146,0
147,0
148,1
149,1
150,1
151,0
152,0
153,1
154,0
155,1
156,1
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,0
167,0
168,0
169,1
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,0
178,1
179,1
180,1
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,0
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,1
207,0
208,0
209,0
210,1
211,0
212,0
213,1
214,1
215,0
216,1
217,1
218,0
219,1
220,1
221,1
222,1
223,0
224,0
225,1
226,0
227,0
228,0
229,0
230,0
231,1
232,1
233,1
234,1
235,1
236,1
237,0
238,1
239,1
240,0
241,1
242,0
243,0
244,0
245,1
246,0
247,1
248,0
249,0
250,0
251,1
252,1
253,1
254,0
255,1
256,0
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,0
265,0
266,1
267,1
268,0
269,1
270,0
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,1
280,0
281,1
282,1
283,1
284,1
285,1
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,1
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,1
307,0
308,1
309,1
310,0
311,0
312,1
313,0
314,0
315,0
316,0
317,0
318,1
319,0
320,0
321,1
322,0
323,0
324,0
325,1
326,0
327,0
328,1
329,1
330,0
331,0
332,0
333,0
334,1
335,1
336,1
337,0
338,1
339,0
340,1
341,1
342,0
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,1
354,0
355,0
356,0
357,0
358,0
359,1
360,1
361,0
362,0
363,0
364,1
365,1
366,1
367,1
368,1
369,0
370,0
371,0
372,0
373,0
374,1
375,1
376,0
377,0
378,0
379,1
380,1
381,0
382,1
383,0
384,0
385,1
386,1
387,0
388,0
389,0
390,0
391,1
392,0
393,0
394,1
395,0
396,0
397,0
398,0
399,0
400,1
401,0
402,0
403,1
404,1
405,0
406,0
407,1
408,0
409,0
410,1
411,1
412,1
413,1
414,1
415,1
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,1
435,0
436,1
437,0
438,1
439,0
440,1
441,0
442,0
443,0
444,0
445,0
446,0
447,1
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,0
458,0
459,0
460,0
461,1
462,0
463,1
464,0
465,1
466,1
467,0
468,0
469,0
470,0
471,1
472,0
473,0
474,0
475,1
476,0
477,1
478,0
479,0
480,1
481,1
482,0
483,1
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,1
492,0
493,0
494,1
495,0
496,1
497,0
498,0
499,0
500,1
501,0
502,0
503,1
504,1
505,0
506,1
507,1
508,1
509,1
510,1
511,1
512,0
513,1
514,1
515,0
516,0
517,1
518,0
519,0
520,0
521,1
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
