Instance,Predicted_Label
0,0
1,1
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,1
12,0
13,0
14,1
15,0
16,1
17,0
18,1
19,1
20,0
21,1
22,1
23,0
24,1
25,0
26,1
27,0
28,0
29,0
30,1
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,1
42,1
43,1
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,0
61,1
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,1
77,0
78,0
79,1
80,1
81,0
82,1
83,1
84,0
85,0
86,1
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,1
96,0
97,1
98,0
99,0
100,0
101,0
102,1
103,0
104,0
105,1
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,1
116,1
117,1
118,1
119,1
120,1
121,0
122,1
123,0
124,0
125,1
126,0
127,1
128,1
129,1
130,0
131,1
132,0
133,0
134,1
135,0
136,1
137,0
138,0
139,0
140,1
141,0
142,0
143,0
144,1
145,0
146,0
147,0
148,1
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,1
161,1
162,1
163,1
164,0
165,1
166,1
167,1
168,0
169,0
170,1
171,1
172,1
173,1
174,1
175,0
176,1
177,1
178,1
179,1
180,0
181,1
182,0
183,0
184,0
185,1
186,0
187,0
188,1
189,0
190,0
191,0
192,0
193,1
194,0
195,0
196,0
197,1
198,0
199,0
200,0
201,1
202,1
203,0
204,1
205,0
206,0
207,0
208,1
209,0
210,1
211,0
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,1
222,0
223,0
224,1
225,0
226,0
227,1
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,1
239,0
240,0
241,1
242,1
243,0
244,0
245,0
246,1
247,1
248,1
249,0
250,1
251,1
252,0
253,1
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,1
262,1
263,0
264,1
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,1
277,0
278,0
279,0
280,1
281,0
282,0
283,0
284,0
285,0
286,1
287,1
288,1
289,1
290,1
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,1
302,0
303,0
304,1
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,1
313,1
314,0
315,1
316,1
317,1
318,0
319,0
320,1
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,1
329,0
330,1
331,1
332,0
333,1
334,1
335,0
336,1
337,0
338,0
339,0
340,1
341,1
342,0
343,0
344,0
345,1
346,1
347,1
348,0
349,1
350,1
351,1
352,1
353,0
354,1
355,0
356,1
357,1
358,1
359,1
360,1
361,0
362,1
363,1
364,0
365,1
366,0
367,0
368,0
369,1
370,0
371,0
372,0
373,0
374,0
375,1
376,0
377,1
378,0
379,1
380,1
381,1
382,0
383,1
384,1
385,0
386,1
387,1
388,0
389,0
390,1
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,0
400,0
401,1
402,1
403,0
404,0
405,0
406,0
407,0
408,1
409,0
410,0
411,1
412,1
413,1
414,0
415,0
416,1
417,0
418,0
419,1
420,0
421,0
422,1
423,0
424,1
425,0
426,1
427,0
428,0
429,0
430,0
431,1
432,1
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,1
450,0
451,1
452,0
453,0
454,0
455,0
456,1
457,1
458,0
459,1
460,1
461,1
462,1
463,0
464,1
465,0
466,0
467,1
468,0
469,1
470,1
471,1
472,0
473,1
474,0
475,1
476,1
477,1
478,0
479,0
480,0
481,1
482,1
483,1
484,1
485,1
486,0
487,1
488,1
489,0
490,0
491,0
492,0
493,1
494,0
495,0
496,1
497,1
498,0
499,0
500,1
501,0
502,0
503,0
504,0
505,1
506,0
507,0
508,1
509,0
510,0
511,0
512,1
513,0
514,0
515,1
516,0
517,0
518,0
519,1
520,1
521,0
522,0
523,1
524,0
525,1
526,0
527,1
528,1
529,1
530,0
531,0
532,0
533,0
534,0
535,1
536,1
537,1
538,0
539,0
540,0
541,0
542,1
543,1
544,0
545,1
546,1
547,1
548,0
549,0
550,1
551,0
552,0
553,0
554,1
555,0
556,0
557,1
558,1
559,0
560,0
561,0
562,1
563,0
564,0
565,1
566,0
567,1
568,0
569,1
570,0
571,0
572,1
573,0
574,0
575,0
576,1
577,0
578,0
579,1
580,1
581,0
582,1
583,0
584,1
585,0
586,1
587,1
588,1
589,1
590,0
591,1
592,1
593,1
594,0
595,0
596,1
597,0
598,1
599,0
600,1
601,0
602,1
603,0
604,0
605,1
606,0
607,0
608,0
609,1
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,1
619,0
620,0
621,0
622,0
623,0
624,1
625,1
626,1
627,1
628,1
629,0
630,0
631,1
632,0
633,0
634,0
635,0
636,0
637,1
638,0
639,0
640,0
641,1
642,0
643,1
644,1
645,0
646,0
647,0
648,0
649,1
650,1
651,1
652,1
653,0
654,0
655,0
656,1
657,0
658,1
659,0
660,1
661,1
662,1
663,0
664,1
665,1
666,0
667,0
668,1
669,0
670,0
671,0
672,0
673,0
674,1
675,0
676,0
677,1
678,0
679,0
680,0
681,0
682,1
683,0
684,0
685,1
686,0
687,1
688,0
689,0
690,1
691,0
692,1
693,1
694,1
695,0
696,1
697,1
698,1
699,1
700,1
701,0
702,0
703,0
704,0
705,0
706,1
707,1
708,1
709,1
710,1
711,1
712,0
713,1
714,0
715,0
716,1
717,1
718,1
719,0
720,1
721,0
722,0
723,1
724,1
725,1
726,0
727,1
728,1
729,0
730,0
731,1
732,0
733,1
734,0
735,0
736,0
737,1
738,0
739,0
740,0
741,0
742,0
743,0
744,1
745,1
746,1
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,1
755,1
756,0
757,0
758,1
759,1
760,1
761,1
762,1
763,0
764,1
765,1
766,0
767,0
768,1
769,0
770,0
771,1
772,0
773,0
774,1
775,1
776,0
777,1
778,0
779,1
780,0
781,0
782,1
783,0
784,0
785,0
786,1
787,1
788,0
789,1
790,0
791,0
792,0
793,0
794,1
795,0
796,0
797,1
798,1
799,0
800,0
801,1
802,1
803,1
804,0
805,1
806,1
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,1
816,0
817,0
818,1
819,0
820,1
821,0
822,0
823,0
824,0
825,1
826,0
827,0
828,0
829,0
830,0
831,1
832,0
833,0
834,1
835,1
836,0
837,0
838,0
839,0
840,0
841,0
842,1
843,0
844,0
845,0
846,1
847,1
848,1
849,0
850,0
851,0
852,1
853,0
854,0
855,0
856,0
857,1
858,1
859,1
860,1
861,1
862,0
863,1
864,1
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,1
879,0
880,0
881,1
882,1
883,1
884,0
885,1
886,0
887,1
888,1
889,0
890,0
891,0
892,0
893,0
894,0
895,1
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,1
914,1
915,1
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,1
924,0
925,1
926,0
927,0
928,1
929,0
930,0
931,0
932,0
933,1
934,0
935,1
936,0
937,0
938,0
939,0
940,1
941,0
942,0
943,0
944,1
945,0
946,0
947,1
948,0
949,0
950,0
951,0
952,1
953,1
954,0
955,0
956,1
957,0
958,0
959,0
960,0
961,1
962,0
963,0
964,0
965,1
966,0
967,0
968,0
969,0
970,0
971,0
972,1
973,0
974,0
975,1
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,1
989,1
990,0
991,0
992,0
993,0
994,0
995,1
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,1
1005,0
1006,0
1007,0
1008,0
1009,1
1010,0
1011,0
1012,1
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,1
1020,0
1021,0
1022,1
1023,0
1024,1
1025,1
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,1
1038,0
1039,0
1040,1
1041,0
1042,0
1043,0
1044,0
1045,0
1046,1
1047,0
1048,1
1049,0
1050,0
1051,1
1052,1
1053,0
1054,0
1055,1
1056,1
1057,0
1058,0
1059,0
