Instance,Predicted_Label
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,0
9,1
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,1
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,1
52,0
53,0
54,1
55,1
56,0
57,0
58,0
59,0
60,1
61,0
62,1
63,1
64,1
65,0
66,1
67,0
68,1
69,1
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,0
86,0
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,0
96,1
97,0
98,1
99,0
100,1
101,1
102,0
103,1
104,1
105,1
106,0
107,0
108,0
109,1
110,0
111,0
112,1
113,0
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,1
127,0
128,0
129,1
130,0
131,0
132,0
133,1
134,0
135,0
136,0
137,1
138,0
139,0
140,1
141,1
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,0
150,1
151,0
152,0
153,1
154,1
155,1
156,1
157,1
158,0
159,1
160,0
161,0
162,0
163,0
164,1
165,0
166,0
167,0
168,0
169,1
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,1
183,0
184,1
185,0
186,0
187,0
188,1
189,0
190,0
191,1
192,1
193,0
194,0
195,0
196,0
197,0
198,1
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,1
207,1
208,0
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,1
221,1
222,1
223,0
224,0
225,0
226,0
227,1
228,0
229,1
230,1
231,1
232,0
233,1
234,1
235,1
236,1
237,0
238,1
239,1
240,0
241,1
242,0
243,0
244,1
245,0
246,0
247,1
248,0
249,0
250,0
251,1
252,1
253,1
254,0
255,0
256,1
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,1
267,1
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,1
276,0
277,0
278,0
279,0
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,0
290,1
291,0
292,0
293,1
294,0
295,1
296,0
297,0
298,1
299,0
300,0
301,0
302,0
303,0
304,0
305,1
306,0
307,0
308,0
309,1
310,1
311,0
312,1
313,0
314,1
315,0
316,0
317,1
318,1
319,0
320,1
321,1
322,1
323,1
324,0
325,0
326,0
327,1
328,1
329,1
330,0
331,0
332,0
333,0
334,0
335,1
336,0
337,0
338,1
339,0
340,1
341,1
342,1
343,1
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,1
352,0
353,0
354,0
355,1
356,0
357,0
358,1
359,0
360,0
361,1
362,0
363,0
364,1
365,1
366,1
367,1
368,1
369,0
370,1
371,0
372,0
373,1
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,1
383,0
384,0
385,1
386,1
387,1
388,0
389,0
390,0
391,0
392,1
393,1
394,1
395,1
396,0
397,1
398,1
399,1
400,1
401,0
402,0
403,1
404,1
405,1
406,1
407,1
408,0
409,1
410,1
411,0
412,0
413,0
414,0
415,1
416,0
417,0
418,0
419,0
420,0
421,1
422,1
423,0
424,0
425,1
426,0
427,0
428,1
429,0
430,0
431,0
432,0
433,0
434,1
435,0
436,1
437,1
438,1
439,0
440,1
441,0
442,0
443,0
444,0
445,0
446,1
447,1
448,1
449,0
450,0
451,0
452,1
453,0
454,1
455,0
456,0
457,0
458,0
459,1
460,0
461,0
462,1
463,0
464,0
465,0
466,0
467,0
468,1
469,0
470,0
471,0
472,1
473,1
474,0
475,0
476,0
477,1
478,0
479,1
480,1
481,1
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,1
492,1
493,0
494,1
495,1
496,0
497,0
498,1
499,0
500,1
501,1
502,0
503,0
504,1
505,0
506,1
507,1
508,1
509,1
510,1
511,1
512,0
513,1
514,1
515,0
516,1
517,1
518,1
519,1
520,1
521,1
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,1
534,0
535,1
536,0
537,0
538,1
539,1
540,0
541,1
542,0
543,0
544,0
545,0
546,1
547,0
548,0
549,0
550,1
551,1
552,1
553,0
554,0
555,1
556,1
557,0
558,0
559,0
560,1
561,0
562,0
563,0
564,0
565,0
566,1
567,0
568,0
569,0
570,0
571,1
572,0
573,0
574,0
575,0
576,0
577,0
578,1
579,1
580,0
581,1
582,1
583,0
584,1
585,0
586,0
587,1
588,0
589,0
590,1
591,0
592,0
593,0
594,0
595,1
596,0
597,0
598,0
599,1
600,0
601,0
602,1
603,0
604,0
605,0
606,0
607,1
608,1
609,0
610,1
611,0
612,0
613,1
614,1
615,0
616,0
617,0
618,0
619,0
620,1
621,0
622,0
623,0
624,0
625,0
626,1
627,0
628,0
629,0
630,0
631,0
632,1
633,0
634,1
635,1
636,1
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,1
645,0
646,0
647,1
648,1
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,0
666,0
667,0
668,0
669,0
670,0
671,1
672,0
673,0
674,1
675,1
676,0
677,0
678,1
679,1
680,1
681,1
682,0
683,0
684,0
685,0
686,1
687,0
688,0
689,0
690,1
691,1
692,0
693,0
694,0
695,0
696,1
697,0
698,1
699,0
700,0
701,0
702,1
703,0
704,0
705,0
706,1
707,0
708,0
709,0
710,0
711,0
712,1
713,0
714,0
715,0
716,0
717,0
718,0
719,1
720,1
721,1
722,1
723,0
724,0
725,0
726,1
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,1
735,1
736,0
737,0
738,0
739,1
740,1
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,1
751,0
752,1
753,0
754,0
755,0
756,0
757,1
758,0
759,0
760,0
761,0
762,0
763,1
764,0
765,0
766,1
767,0
768,0
769,1
770,1
771,1
772,1
773,1
774,0
775,1
776,1
777,0
778,1
779,0
780,0
781,0
782,0
783,1
784,1
785,0
786,1
787,0
788,1
789,0
790,0
791,0
792,0
793,0
794,0
795,1
796,1
797,1
798,1
799,1
800,1
801,0
802,0
803,0
804,0
805,0
806,1
807,0
808,0
809,0
810,0
